Restaurant,Address,Latitude,Longitude,Cusines,Photo_reference,Google_map_link
Acqua e Farina,"400 Upper Bukit Timah Rd, Singapore 678050",1.3581146,103.7678419,"Italian, Vegetarian Friendly",ATtYBwJWkv9492oeoR065E7YZynhblE068eolohf05LeWdOvPwvN7a3eluIWTo4FeL4fRkx2ssW1jwA6aP7Wc-UgzPHmgOWlUeDPpxiOPKlKdeluVaBCEBN9EjKQCq7mf0zWKFDDjf79mlnknEpiZ1fTEp7aOexT4U4f-Ra5aQtHnCWImlZM,https://www.google.com/maps/search/?api=1&query=Acqua+e+Farina
Adrift by David Myers,"10 Bayfront Ave, Lobby Tower 2 Hotel, Singapore 018956",1.2836359,103.860914,American,ATtYBwLVecm-4VVa3ooZv86mo00jvgx6UFmDa5ATxr9NRgCYMbfooJOcRBXigT9w9ba9GoMoVQGtoaRfSx4WRLMZq1giN5My6V8hRDCwpMzn5zFeHFxrWPH79uthI1fq-8QjMmNoLauIFF-Vbc6w0WKNVfnt1THozzjiWab3DdYiHrPsX7vn,https://www.google.com/maps/search/?api=1&query=Adrift+by+David+Myers
Afterglow,"24 Keong Saik Rd., Singapore 089131",1.2801279,103.8417006,Vegetarian,ATtYBwKT4vaZ66eWm7vvc8lhkdlAp4EhVdu45bQz6Sop9Kk4rKFpoe3TvIZqG1Uwz3S_K57DvviVuBWYKAyz_BC0K0Mh064RhCA-3-F9PRHeha1D-gy2hPP4wwxaa3kwDOCRd7_HA_vuxhn0NYDAPQWtyO-eqU6A6gCtArmorW40y8v4pUBB,https://www.google.com/maps/search/?api=1&query=Afterglow
Ah Hoi's Kitchen,"1A Cuscaden Rd, Singapore 249716",1.304438,103.823826,"Chinese, Seafood, Local, Peranakan, Zi Char",ATtYBwLrCOPSnLtRkFQLlmRSZRvD4v_UKfKEgZap1wcq_cnsdhMm16Fmajn2M6vqZ1cSFFlGqp9xBWncd7Hw9f8NJcZjKDafPXG2umRvlugSr0lbnTXttJHbXaEejDbhz6LAeE8TZWUbYZUhdbIxbv22UDyv5140FBwrlLJ5d1eyEmh7seNz,https://www.google.com/maps/search/?api=1&query=Ah+Hoi%27s+Kitchen
Ah Ter Teochew Fishball Noodle Bar,"7 Maxwell Rd, #01-14, Singapore 069112",1.2795779,103.8467263,"Chinese, Local",ATtYBwJHXtQN2WxZ07KNvPVeXU8Tbun6VCYvA2Y7qGy1DxL-T0siPTix8t0lQWDTun58IzFHxUdt3jyIhePD_aFiwuw3tITOkEMaERsLoMmFouFWQ44VfQZtND1rsLugzcVrthAD3z8mlrEJCsVYa6wPAZQfpwhi3i5C6si2eYBSNm9SN7KR,https://www.google.com/maps/search/?api=1&query=Ah+Ter+Teochew+Fishball+Noodle+Bar
Ahtti Korean Restaurant,"2 Venture Dr, #02-43 Vision Exchange, Singapore 608526",1.330109,103.744756,Korean,ATtYBwITQVojQCpDLyfVAmvBUYXLBRcNH9D3-4t8Td0S50BXRmrsQi8f1eb4mt6Z7I1m10UNWPiFrmmzqL1hamMGm4KmieO0rp4aOYIAyS40vVZF_yayxlGGhrfEBgsvsMwXHa64rt-tzBIxIl6uYnc4H82iagi3McFvFts_-QM28l6q-_z2,https://www.google.com/maps/search/?api=1&query=Ahtti+Korean+Restaurant
Akira Back,"30 Beach Road, Level B1M, Singapore 189763",1.2944623,103.8559115,"Japanese, Korean",ATtYBwLKO5H_dZwFSetCTShkV9oMeIhFkAg6C4xyXgDcUK7caqSstC8vfv1pDJfYe5y_m7QTAL5D7e3Pcg4LDW_8hr40t5Rf-6gvJ-YSRMBZny3IXHAKOJD793d5VUAuz3wxaVsd5XYOc3DzbQAeLF5y-5ESaXpTM6AdFiL_cDiwJolcCpoG,https://www.google.com/maps/search/?api=1&query=Akira+Back
Al Borgo @ Alocassia Apartments,"383 Bukit Timah Rd, #01-02, Singapore 259727",1.319502,103.8275459,"Italian, Seafood, Steakhouse, Vegetarian Friendly",ATtYBwIi5l6H9iG9a3i3YQ-rrLc2JFYZtZxESL1mp6bZjN64CZVWN92GX_iO8Yef3AO0NasDxq69ddC4sbNJq7-cWIybTun7vhuvjrMwXJR5Z49QQvkKjAjqpNYAmXIghu5SK6p98SEvp5Jfs2yWFsC8w-QVTgajEsGfhxhulmCPUA0OjhAZ,https://www.google.com/maps/search/?api=1&query=Al+Borgo+%40+Alocassia+Apartments
Al Forno (East Coast) Italian Restaurant,"400 E Coast Rd, Singapore 428996",1.3087787,103.9119446,"Italian, Vegetarian Friendly",ATtYBwLovyq2QIqdeaFSs_Y9ac-e6AT4pYc15eNLGmH0cYQzW6jYjsqNPlcCGKba8JNgUtJ2puKwlR6y3Iy2eceEpfrNrjOQ_nUrBMjgMcUY7bdMo61WcmOzD-l3jy-yX9BKbrUHKEOUodTiFkQAG7NVYi1PGvH_JX-iIz4UCGFi1RJkxueU,https://www.google.com/maps/search/?api=1&query=Al+Forno+%28East+Coast%29+Italian+Restaurant
Al Forno Tapas & Wine Bar,"693 E Coast Rd, Singapore 459058",1.3118571,103.9218812,"Bar, Italian, All-Day Breakfast, Vegetarian Friendly, Pizza",ATtYBwKawKJE97ZCnxyxiOL56Nn8tyY8-QCFxSGhc_8QzRCwU0Cw7vcRGu9f6_ilAaTgOIo7O-28rl5UwE-fu3F9xAaqq_MO8qFx4krvO4aS5fZpv-txvdu4FW_AztQoshojWKskXG_q2aemFh4a67fVYFU5K5vWV2bQSiot-iTLUGS7orVW,https://www.google.com/maps/search/?api=1&query=Al+Forno+Tapas+%26+Wine+Bar
Alati Divine Greek Cuisine,"73 Amoy St, Singapore 069892",1.2803297,103.8467729,"Seafood, Greek, Vegetarian Friendly",ATtYBwJQVOCunbGHeWP1t7g7VItH_5ccBXEKnYLiZtaD9V1ssiZcNLVWeTkaPUaWivePuE4zoRyx9Pp3gAzqCUa3g4R9K_m_IjufRQfJxjDMBT54r9a8kLj_R5XumpBWuMTlCDyuh7DVSioEd1iPr400YxYaExYBDOvoAfe-ji2R-rMGQ5nH,https://www.google.com/maps/search/?api=1&query=Alati+Divine+Greek+Cuisine
alittle tashi,"39 Tyrwhitt Rd, Singapore 207538",1.3099981,103.8589681,"Buffet, Chinese, Seafood, Modern Asian",ATtYBwLWQ1oSsVyHEKyq324_3mszejejqT4Boj6KTs5k5-uDxuVQU6tOOGd7-b41t4VmTKab4AZB6XJg5rbh0TyIytMRCUO6lfCtciugttCqTIlniNHsUKLLHEeNT-0CMCT_ck7rEg5hcpXl0kqsAFKQvf490-E5zAkaEvn5XB_Bf7AZASkc,https://www.google.com/maps/search/?api=1&query=alittle+tashi
Alley Bar,"2 Emerald Hill Road Peranakan Place, Singapore 229287",1.3014424,103.8392721,"Bar, Local, Pizza",ATtYBwI6PXDX5rL1eRcfMwRV9Er6TqTxkHPtsgSF7vmXAmIESGU1Yh7wIW2Afi2R2NJVP5Xc0HkL5EesfDngvU75uh-YOVfsx9-9h4ReBz82tnx4_ddhBfF1wzFvYHhqK2XMNIuO3uk_BgVcWGp7V56xQSOPuzSuHqVE_qReq9t8poMd0lK4,https://www.google.com/maps/search/?api=1&query=Alley+Bar
Alley on 25,"5 Fraser St, Level 25, Singapore 189354",1.2992066,103.8577299,"Buffet, Seafood, Vegetarian Friendly, Burgers, Modern Asian",ATtYBwLtmdUWcUrVEvBS7KijQUUAqJZTwPlIcfOxoC1AbJKdVYJXJqE1kiXYwlqOzbIGm-tIPEcVzxDjZNIsekbgINywTJIlzv50wq9UsxJRfEj3ySRAU6zTUYyDDpxAHjgeaY21mvUPyK8hB3_K9L2zYa4HDPrdoL7bD-IaUEDMZ1MAf_vK,https://www.google.com/maps/search/?api=1&query=Alley+on+25
Alma By Juan Amador,"22 Scotts Rd, Singapore 228221",1.3081371,103.8341459,Modern European,ATtYBwJMIk6amd2aQoTcMVMQ9knUtOBzQMXvoGb4giPuMwsxLG_LPZVDqBymo_-BVeUj-d72tLx2iW1YfIXOop54QwBg1SvqD7ESb3VHo_V9m0FDwpPh30vIIVMlHEBP0p69PQKDarXp5s0prTOoaq-_DwuCTx17jXzEiPGZoa_4UtkiqcL5,https://www.google.com/maps/search/?api=1&query=Alma+By+Juan+Amador
Almost Famous Craft Beer Bar,"30 Victoria St, #01-06, Singapore 187996",1.2953666,103.8524679,"Bar, Fusion, Vegetarian Friendly",ATtYBwJR_GVtCKpNrRrF-6_BEzofIgez489uRLyIoDaFZxB9Ao2j4UggFCv5pivqGyMAUi8hExXP9rGZiFJnO7uBWP0az9CeG9DyTnjSpR-1PBKZTHI7nPLdKTTZN9LEHbaQ4bePsFjSCiBTrNCyDsYdVN9Jc7wF8CweEHOWWXuXPtD9tQY,https://www.google.com/maps/search/?api=1&query=Almost+Famous+Craft+Beer+Bar
Alter Ego,"#01-13D, Esplanade Mall, 8 Raffles Avenue, Singapore 039802",1.2892364,103.8564027,"American, Bar, Fusion, Cafe",ATtYBwI_TqvfWd5tOWmBCp89NX3hl_Wzl7i__QqACnbSin1wxGD0HhzdISftbamX6M3tqbqVruTltpMt-IG-Gp_AkZY4NSbdW-lNeoAV79a0Os_fPpOGiLEMzEi2jNMgfD6B1tl60S1cJBrnFuhZehulQupZYHXHjsTNzkF0DitaXKs0UCO2,https://www.google.com/maps/search/?api=1&query=Alter+Ego
Amano,"76 Namly Pl, Singapore 267226",1.3243611,103.7968008,"Italian, Pizza",ATtYBwLD5v5PsSyfs6BIYSammkUlThC7IDlLNmjJiqKX4yuHEnkI3ZvoGvXxJfK1J2YS9q5CJ52PRG3fQHRrDGP_vfBOPX2C7aBoEV6NMrryH8jzSGhJ2knb8zrCUVdKIpOEGFjPSSv4U7G8lN21GNiUl2QIB_2iQ6Jy4gLXuTZV0C1cGafx,https://www.google.com/maps/search/?api=1&query=Amano
Amazing Hokkaido,"30 Robertson Quay, #01-16 Riverside View, Singapore 238251",1.2913083,103.8410032,"Bar, Japanese",ATtYBwLwQbrLwslDgmacOO5aSczWp6-QJ9alsWJNX3BvAgIBjQCDM24yQcUq41fX9V44LLnaoU36NPsvUd2AxrknxIfG8a10Giiu8JjG3NvrpjBXWdDal6EVxw75071jwM9WE2xoCcBbXeq0W_W0--dwQrPqrpkjWiE8R__Q-QVD9_NPTwDO,https://www.google.com/maps/search/?api=1&query=Amazing+Hokkaido
Amber West,Singapore,1.3761004,103.752955,International,ATtYBwJYizOtGe9Lid96t8ebPDZZi-jlKNaGU5FA-mCfCC3-LE_ad5IQwTh3NecgSkn4GmSVjgXKyHYdiKIRH-zeVFy5cO11DQmpkyNifYRHRAV00imbYsEMy1rAbBA70j7-I4rH-Wvy3ygh9mxI1TcxfGPCEgLzccEhqFnIIG7eiA-6-xUy,https://www.google.com/maps/search/?api=1&query=Amber+West
Anglo Indian Cafe & Bar (CHIJMES),"30 Victoria St, #01-13 Chijmes, Singapore 187996",1.2948428,103.8525534,Indian,ATtYBwK0EuoEHIQK4FR8MedhnpySdpLF5F12WV9Iz9WNhhPDBmp4S3YGp0VE-eBaewSm7N3HOP96JIu6TekXoOOhHYM8-CxI469o9M92aZ_FUye4AJLEE_gy49hZUAUnfLyQNPKbILXvYuVOxRKgCJFJekk5CkOQDzJeLmkuApKDKYurCPXa,https://www.google.com/maps/search/?api=1&query=Anglo+Indian+Cafe+%26+Bar+%28CHIJMES%29
Anglo Indian Cafe & Bar (Marina One),"5 Straits View, #01-10, Singapore 018935",1.2768008,103.8523959,Indian,ATtYBwKL3HxHYWKToguEk-s7116E9HCGDVVRJBmeMpyhz94SROSk84Z6LR0tCGw8zPcgESq3iPOS442HhNRujmtOO71dxyDVwcbZRdAfvsFT5V6rYk8cXuA_ng4HGnC7Yhp0sn0GsJMaZ0zix3epnAEtujj5a0NzRQcDlXVM_7PeOKIHD_5v,https://www.google.com/maps/search/?api=1&query=Anglo+Indian+Cafe+%26+Bar+%28Marina+One%29
Anglo Indian Cafe & Bar (Shenton Way),"5 Straits View, #01-10, Singapore 018935",1.2768008,103.8523959,Indian,ATtYBwLDP1_D1dMYwMxGKZchJtAJISIc-YbrQrRdBWb-fQDCWSp00XEr3Dyjm8c2iEc029-aTfPZYPPVnLOsscK44Lf2AOahdtYdnqzGgyZ4Nb_ngMLTfL8o6b0JMF4pq2ZmB26lojnXOAP_iPDD5FJ0GvLE7JyfZr0YXr71NyXAtG-GHOGJ,https://www.google.com/maps/search/?api=1&query=Anglo+Indian+Cafe+%26+Bar+%28Shenton+Way%29
Anti:dote,"80 Bras Basah Rd, Singapore 189560",1.2943116,103.8536996,"Bar, Modern European, British, Vegetarian Friendly, Cafe, Vegetarian, Dessert Only",ATtYBwIppw8EHDPo9Y9Zr400XzM5Velg_LJizWSdltQ5bkUHsO0mKQBWcrkTjC9INi9mxFTNAkcZQY_fYk9afOsikuY59GTEpKEgc2rIwoNHL5kDvtEIeeddlpmCnpi54ghieakOO8HKPGpy7Reja21Q0lkMIvp1T0hWzAY1NNVgJ2uOZax0,https://www.google.com/maps/search/?api=1&query=Anti%3Adote
Apollo Coffee Bar,"65 Serangoon Garden Way, Singapore 555961",1.3635596,103.8654757,"Fusion, All-Day Breakfast, Cafe",ATtYBwJWDW5LdhTFWa8JDT9SlWEWgVz9Ohm5SoG-5kEIlrtc0KZBHjWshRC_Bfic6QLhY3Si7yB9mpdqPG4q9V89VTxKp0G5-o28sEsXy-oo1EH9LRdj5hV0UrtFLMLqnyY1ZtW3Gu-sW7AVTcMo56ENcBcFTPvaDaAFAruvOXkoIQr5j-o2,https://www.google.com/maps/search/?api=1&query=Apollo+Coffee+Bar
Aqua Luna,"Level 7, Park Hotel Alexandra,, 323 Alexandra Road,, Singapore 159972",1.2876691,103.8053306,Bar,ATtYBwLQCbm2f8-mZldge2XscpBwgog-zRqLaEOTilxW6eaiqXgpkohvyy03AGiKctzSGQgcg8hxLHx6oriyudJ-61pjAhRtO95CXQ79CtXKTWLyijThrsMyf6Wua22KLkLjzyWrzljlM6cM_HWPiPXV0yocxJtGlEDMfbWf0CEOWLSeksn8,https://www.google.com/maps/search/?api=1&query=Aqua+Luna
Arkadas Cafe,"1 Fusionopolis View, #01-02 Sandcrawler Building, Singapore 138577",1.2998462,103.7897821,Middle Eastern,ATtYBwJzypAVlS_b8imrvQRkFvc64IO28FERF6mEb0wy_3BiXfSM0OgbN2dVGvNw8jmVOpy_ADurELGW6tLa03-eQ0qZ3Gq332_Oh1zgVFNmJVcOsi_8XGhJn0DDuNYdFTtHZ62zrixQ7siSzb3-6wVdQsMXxLKVtH2ETFxEQKex2zO7IAHc,https://www.google.com/maps/search/?api=1&query=Arkadas+Cafe
Aromas of India,"60 Race Course Rd, Singapore 218567",1.3084757,103.8511286,"Indian, Fusion, Middle Eastern, Vegetarian Friendly",ATtYBwJarmHOnu6OFSreoj4sgYnQwvbWqDGHW55LjLqYUphULDLTB9aSz5ns3v_YeAxXrsJ669gHeZ2XNC8Wp9_mdQFob9KqQJDgcJXE4I7UhVKCxJnw5Xdec0cky5XU5wUZ3z2BPAJTfChiNLKgGwT3AxrVW0qH_XdowgRxKzgCnj-w_t6f,https://www.google.com/maps/search/?api=1&query=Aromas+of+India
Art,"10 Alexandra View, Singapore 158745",1.2901234,103.817164,Italian,ATtYBwJT8k5zdHirisVpMEiXxCylzW8UDxHWuzkYYn1cogWIandq7oBIDJ0VmMY36hwGaZsEvNcGLuVQuUJU6CcjCk3FY298HRi3WahuNx4jV9v8vFOEfAc4Q5UlX09C6o7WyqP56Zw4b0gP2A8p_fzQiq3rAZf7pyZRmtqzyqMnkmeJmJA,https://www.google.com/maps/search/?api=1&query=Art
Ash & Elm,"80 Middle Rd, Singapore 188966",1.298314,103.8550497,Modern European,ATtYBwJL2rwh4c7TqKbpA9sARsKSR4eiiNfLsubDDxL5ecrIaE_P_WKxklFIiXLFUllYaHRCsPE1W0Or7GPly166Y5_kkeMcmeBHNazGcyjUZs9hM0Xg7M6VknrFjLJR7vjanxPRZxU5H5TdjqBMQ7juZcCenQIY9WEZ2b_T0JBHvjbyn4Bn,https://www.google.com/maps/search/?api=1&query=Ash+%26+Elm
Ashino,"30 Victoria Street #01-23 Chijmes, Singapore 187996",1.295092,103.852657,Japanese,ATtYBwKGpjbVbwuPGBWg8e1OCc35-Od01zzH-uiCb9dHmN0ggbFgIHjKQWHCkMA10i6LLL2Q6LehHHv972EuVV8_uqvvGtHm8wzbS6r9Ha_NIn8b6YIR7zB6rW_XRwMPX1fmk5Py19H6OgsW8ZbnG8rH1JfYGSIBHz7WwxsLdpgegr6uH6js,https://www.google.com/maps/search/?api=1&query=Ashino
Asia Grand Restaurant,"331, North Bridge Rd, #01-02, Odeon Towers, Singapore 188720",1.2959004,103.8535432,"Chinese, Seafood, Dim Sum",ATtYBwLIAoZfRr-tSr8Wsfme7SIOLknUvHMEcc5BXATq6UjvbC-G9RjnG5RgZaSPrLjoR3Gy4v87mNvK3COrkd2DAE5XjxICCi9OMF3Iisd1qiJMfol8EjoAvyAjh5BuUMOH2UoSJCKi5ieFgCsGs7yeDJML_l95dskkOdsz1VjikcfJLspV,https://www.google.com/maps/search/?api=1&query=Asia+Grand+Restaurant
