Restaurant,Address,Coordinates,Cusines
Akira Back,30 Beach Road Level B1MJW Marriott Hotel Singapore South Beach Singapore (189763),"1.2944085, 103.8560531","Japanese, Korean"
Al Borgo @ Alocassia Apartments,383 Bukit Timah Road#01-02Alocassia Apartments Singapore (259727),"1.3195254, 103.8275419","Italian, Seafood, Steakhouse, Vegetarian Friendly"
Al Forno (East Coast) Italian Restaurant,"400 East Coast Road,Le Peranakan Hotel,Singapore (428996)","1.3088164, 103.9119891","Italian, Vegetarian Friendly"
Al Forno Tapas & Wine Bar,693A East Coast Road Singapore (459058),"1.3118299, 103.9219039","Bar, Italian, All-Day Breakfast, Vegetarian Friendly, Pizza"
Alati Divine Greek Cuisine,73 Amoy Street Singapore (069892),"1.2803267, 103.846598","Seafood, Greek, Vegetarian Friendly"
Alaturka Turkish & Mediterranean Restaurant,"15 Bussorah St, Singapore 199436","1.301179, 103.8599691","Middle Eastern, Vegetarian Friendly, Mediterranean"
alittle tashi,39 Tyrwhitt Road Singapore (207538),"1.3099981, 103.8589681","Buffet, Chinese, Seafood, Modern Asian"
Alley Bar,2 Emerald Hill Road Peranakan Place Singapore (229287),"1.3014424, 103.8392721","Bar, Local, Pizza"
Alley on 25,5 Fraser Street Level 25Andaz Singapore Singapore (189354),"1.2992107, 103.8577253","Buffet, Seafood, Vegetarian Friendly, Burgers, Modern Asian"
Alma By Juan Amador,22 Scotts Road Goodwood Park Hotel Singapore (228221),"1.3084774, 103.834405",Modern European
Almost Famous Craft Beer Bar,30 Victoria Street Singapore (187996),"1.2953653, 103.852459","Bar, Fusion, Vegetarian Friendly"
Alter Ego,8 Raffles Avenue#01-13D Esplanade Mall Singapore (039802),"1.2892364, 103.8564027","American, Bar, Fusion, Cafe"
Amano,76 Namly Place Singapore (267226),"1.3243611, 103.7968008","Italian, Pizza"
Amazing Hokkaido,30 Robertson Quay#01-16Singapore (238251),"1.291333, 103.8414166","Bar, Japanese"
Amber West,1 Choa Chu Kang Grove Singapore (688236),"1.3748318, 103.751726",International
Ambush-Pan European Dining (Junction 8),9 Bishan Place#02-19/20/27Junction 8 Shopping Centre Singapore (579837),"1.3506808, 103.8487631","Modern European, French, Italian, Spanish, Seafood, German, Cafe"
Amò,33 Hongkong Street Singapore (059672),"1.2874616, 103.8471597","Bar, Italian, Vegetarian Friendly, Pizza"
Anglo Indian Cafe & Bar (CHIJMES),30 Victoria Street#01-13Chijmes Singapore (187996),"1.2951699, 103.8521957",Indian
Anglo Indian Cafe & Bar (Marina One),5 Straits View#01-10Marina One Singapore (018935),"1.2780388, 103.8531501",Indian
Anglo Indian Cafe & Bar (Shenton Way),1 Shenton Way#01-08Singapore (068803),"1.2796774, 103.8506343",Indian
Anouska's Restaurant and Bar,83 Duxton Road Singapore (089540),"1.2786983, 103.84319",Chinese
Anti:dote,80 Bras Basah Road Level 1Fairmont Singapore Singapore (189560),"1.293396, 103.8534619","Bar, Modern European, British, Vegetarian Friendly, Cafe, Vegetarian, Dessert Only"
Apollo Coffee Bar,65 Serangoon Garden Way Singapore (555961),"1.3635104, 103.865592","Fusion, All-Day Breakfast, Cafe"
Aqua Luna,"323 Alexandra Road,Level 7Park Hotel Alexandra Singapore (159972)","1.2875458, 103.8054094",Bar
Arbora (formerly Spuds & Aprons),109 Mount Faber Road Faber Peak Singapore Singapore (099203),"1.2713286, 103.8194656",Fusion
Arkadas Cafe,1 Fusionopolis View#01-02Sandcrawler Building Singapore (138577),"1.2998378, 103.7892136",Middle Eastern
Aromas of India,60 Race Course Road Singapore (218567),"1.3084757, 103.8511286","Indian, Fusion, Middle Eastern, Vegetarian Friendly"
Art,1 St Andrew’s Road#06-02National Gallery Singapore (178957),"1.2902217, 103.8515167",Italian
Ash & Elm,80 Middle Road Level 1Inter Continental Singapore Singapore (188966),"1.2983644, 103.8549173",Modern European
Ashino,30 Victoria Street#01-23CHIJMES Singapore (187996),"1.295092, 103.852657",Japanese
Asia Grand Restaurant,331 North Bridge Road#01-02 & #01-05/08 Odeon Towers Singapore (188720),"1.2962396, 103.8532832","Chinese, Seafood, Dim Sum"
Asian Market Cafe,80 Bras Basah Road Level 2Fairmont Singapore Singapore (189560),"1.293396, 103.8534619","Buffet, Malaysian, Fusion, International, Seafood, Vegetarian Friendly, Local, Southeast Asian"
Atlas Coffeehouse,6 Duke's Road Singapore (268886),"1.3228827, 103.811981","Fusion, All-Day Breakfast, Vegetarian Friendly, Cafe"
Atrium Bar 317,317 Outram Road Singapore (169075),"1.2889969, 103.834125","American, Bar, Local"
Atrium Restaurant,317 Outram Road Level 4Holiday Inn Singapore Atrium Singapore (169075),"1.2891631, 103.8342067","Buffet, Fusion, International, Seafood, All-Day Breakfast, Vegetarian Friendly, Local, Halal Certified, Cafe"
Auntie's Wok & Steam,5 Fraser Street Level 25Andaz Singapore Singapore (189354),"1.2992107, 103.8577253","Chinese, International, Vegetarian Friendly, Local"
Avenue 87,47 Amoy Street Singapore (069873),"1.2804021, 103.8469907","Bar, Modern Asian"
Awadh,176 Orchard Road#01-33H The Centrepoint Singapore (238843),"1.3021165, 103.839761",Indian
Awfully Chocolate (Greenwich V),1 Seletar Road#02-02Greenwich V Singapore (807011),"1.3873705, 103.8694069",Cafe
Azmaya,30 Robertson Quay#01-12Singapore (238251),"1.291333, 103.8414166","Buffet, Japanese"
Azmaya Honten (Cuppage Plaza),5 Koek Road#03-24Cuppage Plaza Singapore (228796),"1.3019646, 103.8407001","Buffet, Japanese, Steamboat"
Baba Chews Bar and Eatery,86 East Coast Road Katong Square Singapore (428788),"1.3047255, 103.9046894",Modern Asian
Baci Baci,27 Lichfield Road Singapore (556847),"1.364913, 103.8702518",Italian
Bailamos Bistro Bar & Cafe,22 Sam Leong Road Singapore (207913),"1.309362, 103.8568559","American, Bar, Fusion, Seafood, Vegetarian Friendly, Pizza, Burgers, Vegetarian"
Bakalaki Greek Taverna,3 Seng Poh Road Singapore (168891),"1.2855878, 103.8341703",Greek
Bali Thai (Causeway Point),1 Woodlands Square#05-05Causeway Point Singapore (738099),"1.4360933, 103.7859471","Indonesian, Thai, Fusion, Halal Certified"
Bali Thai (IMM),2 Jurong East Street 21#01-21IMM Singapore (609601),"1.3348154, 103.7468395","Indonesian, Thai, Fusion, Halal Certified"
Bali Thai (NEX),23 Serangoon Central#02-13NEX Singapore (556083),"1.3507723, 103.8722585","Indonesian, Thai, Fusion, Halal Certified"
Bali Thai (Ngee Ann City),391A Orchard Road#05-29 Ngee Ann City Podium Block Singapore (238873),"1.3025572, 103.834568","Indonesian, Thai, Fusion, Halal Certified"
Bali Thai (Suntec City),3 Temasek Boulevard#B1-121A/121B Suntec City Singapore (038983),"1.29503, 103.8583026","Indonesian, Thai, Fusion, Halal Certified"
Bali Thai (Waterway Point),83 Punggol Central#B1-13Waterway Point Singapore (828761),"1.40669, 103.9021738","Indonesian, Thai, Fusion, Halal Certified"
BAM! Restaurant,38-40 Tras Street Singapore (078977),"1.2783924, 103.8443423","Spanish, Vegetarian Friendly"
The Banana Leaf Apolo (Parkway Parade),80 Marine Parade Road#03-01/02A Parkway Parade Singapore (449269),"1.3013366, 103.9052333",Indian
Bangkok Jam (Bukit Panjang Plaza),1 Jelebu Road#02-18Singapore (677743),"1.3799623, 103.7643089",Thai
Bangkok Jam (Great World City),1 Kim Seng Promenade#02-127Great World City Singapore (237994),"1.2926499, 103.8322968","Thai, Fusion"
Bangkok Jam (Marina Square),6 Raffles Boulevard#02-105B/C Marina Square Singapore (039594),"1.2911534, 103.8576778",Thai
Bangkok Jam (Plaza Singapura),68 Orchard Road#03-85Plaza Singapura Singapore (238839),"1.3005317, 103.8452356",Thai
Bao Makers,4 Jiak Chuan Road Singapore (089261),"1.2796626, 103.841782","Bar, Cafe"
Bar Bar Black Sheep (Bukit Timah),879 Bukit Timah Road Singapore (279892),"1.332671, 103.79114","American, Bar, Indian, Vegetarian Friendly, Southeast Asian, Pizza, Burgers"
Bar Bar Black Sheep (Robertson Quay),86 Robertson Quay#01-04Robertson Blue Singapore,"1.2900394, 103.8373405","American, Bar, Indian, Vegetarian Friendly, Local, Southeast Asian, Burgers, BBQ"
Bar Bar Q,3 Temasek Boulevard#01-602Suntec City Tower 4Singapore (038983),"1.29503, 103.8583026","Bar, Chinese, BBQ"
Bar Canary,270 Orchard Road Grand Park Orchard Singapore (238857),"1.3035171, 103.836278",Bar
Bar Rouge,2 Stamford Road Level 70Swissotel the Stamford Singapore (178882),"1.2932771, 103.8535076",Bar
Bar-beque,48 Prinsep Street#01-01/#02-01Singapore (188675),"1.2996611, 103.8497482","Bar, Chinese, Malaysian, Seafood, Local, Peranakan, Zi Char, BBQ"
Bar-Roque Grill,165 Tanjong Pagar#01-00Singapore (088539),"1.2750316, 103.8435506","Bar, Modern European, French"
Barossa Bar & Grill (VivoCity),1 Harbour Front Walk#01-161/162Vivo City Singapore (098585),"1.2647884, 103.822894","Bar, Australian, Steakhouse, Burgers"
Barossa Gastrobar (Esplanade),8 Raffles Avenue#01-11Esplanade Mall Singapore (039802),"1.2899102, 103.8564376","Bar, Australian, International, Pizza, Burgers"
Bar·Celona,21 Duxton Hill Singapore (089604),"1.278527, 103.8425029","Bar, Spanish, Fusion"
Basil & Thyme,920 East Coast Parkway#01-20 to 24Parkland Green Singapore (449875),"1.298860, 103.905823","Thai, Fusion, Vegetarian Friendly, Burgers, BBQ"
Basilico,1 Cuscaden Road Level 2Regent Singapore Singapore (249715),"1.3046549, 103.8249313","Italian, Vegetarian Friendly"
Basque Kitchen by Aitor,97 Amoy Street Singapore (069917),"1.281337, 103.847328","Spanish, Vegetarian Friendly"
Bayang,3A River Valley Road#01-05Singapore (179020),"1.295877, 103.8397203",Indonesian
Bayswater Kitchen,2 Keppel Bay Vista Marina At Keppel Bay Singapore (098382),"1.2640448, 103.8125054","Bar, Fusion, Seafood"
Beach Road Kitchen,30 Beach Road JW Marriott Singapore South Beach Singapore (189763),"1.2944085, 103.8560531","Buffet, International, Seafood, Local"
The Beacon,6 Raffles Boulevard#01-01/02/03Marina Square Singapore (039594),"1.2924739, 103.8565218","Bar, Italian"
Bearded Bella,8 Craig Road Singapore (089668),"1.2776408, 103.8428254","Australian, Cafe"
Beast & Butterflies,90 Robertson Quay Singapore (238259),"1.2908075, 103.8372952","Bar, Modern European, Fusion, Modern Asian"
The Beast,17 Jalan Klapa Singapore (199329),"1.3042819, 103.8596373","American, Bar, All-Day Breakfast, Cajun"
Bee Cheng Hiang Grillery,1359 Serangoon Road Singapore (328241),"1.3270219, 103.8672731",Fusion
Bee's Knees,50 Cluny Park Road Singapore (257488),"1.3189836, 103.8155834","Vegetarian Friendly, Cafe, Pizza"
Beer Factory,25 Church Street#01-07Capital Square Singapore (049482),"1.2840326, 103.8484637","American, Bar, Indian, Fusion, Middle Eastern, Vegetarian Friendly"
Beirut Grill,72 Bussorah Street Singapore (199485),"1.3009011, 103.8599624","Middle Eastern, Vegetarian Friendly"
Bella Pasta,30 Robertson Quay#01-09Riverside View Singapore (238251),"1.291109, 103.8411025",Italian
Bella Pizza,30 Robertson Quay#01-14Riverside View Singapore (238251),"1.291109, 103.8411025","Italian, Pizza"
Beng Hiang Restaurant,135 Jurong Gateway Road#02-337Singapore (600135),"1.3338882, 103.7404073",Chinese
Beng Who Cooks,39 Neil Road Singapore (088823),"1.279815, 103.842894","Fusion, International, Local"
Benjamin Browns,583 Orchard Road#01-20/21Forum The Shopping Mall Singapore (238884),"1.3061111, 103.8286111",All-Day Breakfast
Beppu Menkan Restaurant,3 Pickering Street# 01-32/33China Square Central Nankin Row Singapore (048660),"1.2841124, 103.847422",Japanese
Beurre,23 Bukit Pasoh Road Singapore (089837),"1.279057, 103.840518","Modern European, Modern Asian"
BigBrand Satay,181 South Bridge Road#01-04/K3Capri by Fraser Cross Street Exchange Singapore (058743),"1.2835222, 103.8469123","Bar, Chinese, Malaysian, Local, Southeast Asian, Cafe, BBQ"
Bijan Restaurant,511 Guillemard Road#B1-02/09Grandlink Square Singapore (399849),"1.3142609, 103.8914534","Indonesian, Malaysian, Seafood, Local, Southeast Asian, Peranakan, Halal Certified, Modern Asian"
Bincho at Hua Bee,78 Moh Guan Terrace#01-19Singapore (162078),"1.2835735, 103.8303734",Japanese
Bincho at Min Jiang,7A/B Dempsey Road Singapore (249684),"1.304606, 103.8089925",Japanese
Binomio,"20 Craig Road #01-02,Singapore (089692)","1.2780894, 103.8423217",Spanish
Birds of a Feather,115 Amoy Street#01-01Singapore (069935),"1.282141, 103.847711","Bar, Modern European, Chinese, Fusion, Cafe"
Biseryu Japanese Restaurant,14 Scotts Road#02-59Far East Plaza Singapore (228213),"1.3070854, 103.8333034","Japanese, Fusion, Steakhouse, Cafe, Burgers"
Bistro @ Duo,7 Fraser Street#01-25/26Duo Galleria Singapore (189356),"1.2995009, 103.8585953","Modern European, Modern Asian"
Bistro G,9 Raffles Blvd#01-79/80Millenia Walk Singapore (039596),"1.292888, 103.8597786","Modern European, French"
Bistro Neigh,"61 Pasir Ris Green Pasir Ris Park, Carpark C Singapore (518225)","1.379718, 103.94848","American, Italian, Vegetarian Friendly, Cafe, Pizza"
Bistro XY,11-15 Jalan Klapa Singapore (199323),"1.304325, 103.859722","Bar, Fusion, Seafood, Steakhouse, Local, Cafe, Pizza, BBQ, Vegetarian"
Black Angus Steakhouse,1 Tanglin Road#01-08Orchard Rendezvous Hotel Singapore (247905),"1.3065228, 103.827668","American, Steakhouse, South American, Burgers, BBQ"
Black Marble,118 Holland Avenue#02-01Singapore (278997),"1.3105313, 103.7961337","Seafood, Steakhouse, Cafe, Burgers, BBQ"
Black Pearl Steakhouse,85 Upper East Coast Road Singapore (455222),"1.3133976, 103.9277362","American, Modern European, French, Australian, Fusion, International, Seafood, Steakhouse, Vegetarian Friendly, Modern Asian"
Blu Kouzina,10 Dempsey Road#01-21Singapore (247700),"1.3033906, 103.8104867",Greek
Blue Jasmine,10 Farrer Park Station Road Level 5Park Hotel Farrer Park Singapore (217564),"1.3120943, 103.8547668","Thai, Vegetarian Friendly"
Blue Lotus Chinese Eating House,31 Ocean Way#01-13Quayside Isle Singapore (098375),"1.246831, 103.8421169","Chinese, Vegetarian Friendly"
Blue Pier,Block 1202 East Coast Parkway#01-03East Coast Seafood Centre Singapore (449881),"1.305063, 103.929647","Chinese, Seafood, Southeast Asian, Steamboat, Zi Char, BBQ"
BLVD @ Changi,5 Changi Business Park Central 1#01-72/73Changi City Point Singapore (486038),"1.334638, 103.9623868","Bar, Cafe, Pizza"
BLVD @ MBFC,8 Marina Boulevard#01-02Marina Bay Financial Centre Tower 1Singapore (018981),"1.2798897, 103.8548685","Bar, Fusion, Burgers"
Boaters' Bar,11 Cove Drive#01-01ONE15 Marina Sentosa Cove Singapore (098497),"1.24562, 103.8398371","Bar, Burgers, BBQ"
Bob's Bar,1 The Knolls Sentosa Island Singapore (098297),"1.249141, 103.8248866",Bar
boCHINche,115 Amoy Street#01-02Singapore (069935),"1.2821776, 103.8477473","Bar, Modern European, Steakhouse, South American"
Bodacious,70 Biopolis Street#01-05Singapore (138547),"1.3029085, 103.7920137","Bar, Fusion, Cafe"
The Boiler (Esplanade),8 Raffles Avenue01-13A Esplanade Mall Singapore (039802),"1.2896635, 103.8564438","Seafood, South American, Cajun"
The Boiler (Howard Road),18 Howard Road#01-06Novelty Bizcentre Singapore (369585),"1.3341869, 103.885778","Seafood, South American, Cajun"
Bones 'n Barrels (Sentosa),6 Sentosa Gateway#01-05Sentosa Boardwalk Singapore (098072),"1.260007, 103.823374","Indian, International"
Bornga (Suntec City),3 Temasek Boulevard#01-641/642Suntec City Singapore (038983),"1.29503, 103.8583026","Korean, BBQ"
Bornga (VivoCity),1 Harbourfront Walk#02-123/124Vivocity Singapore (098585),"1.2644032, 103.8222071","Korean, BBQ"
Boss Bistro & Bar,25 Lorong Mambong Singapore (277684),"1.3114942, 103.7945688","Bar, Pizza"
Botan Japanese Restaurant,36-37 Pekin Street#01-01Far East Square Singapore (048766),"1.2836894, 103.8482793",Japanese
Botanico at The Garage,50 Cluny Park Road The Garage Singapore Botanic Gardens Singapore (257488),"1.3188018, 103.8155363","Bar, Modern European"
Box n Sticks,28 Kandahar Street Singapore (198889),"1.302176, 103.859796",Japanese
Braci,52 Boat Quay Level 5Singapore (049841),"1.2870832, 103.8493468","Italian, Vegetarian Friendly"
Brasserie Les Saveurs (The St. Regis Singapore),29 Tanglin Road Lobby Level The St. Regis Singapore Singapore (247911),"1.3055457, 103.8260886","French, Vegetarian Friendly"
Brauhaus Restaurant & Pub,101 Thomson Road B1-13/14United Square Singapore,"1.3172768, 103.8436682","Bar, German"
Brewerkz Indoor Stadium,2 Stadium Walk#01-06/07Singapore Indoor Stadium Singapore (397691),"1.2999798, 103.8743317","Bar, Modern Asian"
Brewerkz One Fullerton,1 Fullerton Road#01-01Singapore (049213),"1.2856406, 103.8539179","Bar, Modern Asian"
Brewerkz Orchard Rendezvous Hotel,1 Tanglin Road#01-02Orchard Rendezvous Hotel Singapore (247905),"1.3065228, 103.827668","Bar, Modern Asian"
Brewerkz Riverside Point,30 Merchant Road#01-07Riverside Point Singapore (058282),"1.2894761, 103.8441414","Bar, Modern Asian"
Broadway American Diner,13 Stamford Road#01-84B Arcade @ The Capitol Kempinski Singapore (178905),"1.2929876, 103.8511619","American, Cafe"
Brotzeit Katong,126 East Coast Road Singapore (428811),"1.3059001, 103.9051352","Bar, German"
Brotzeit Raffles City,252 North Bridge Road#01-17Raffles City Shopping Centre Singapore (179103),"1.2937585, 103.8534331","Bar, German"
Brotzeit VivoCity,1 Harbourfront Walk#01-149Vivo City Singapore (098585),"1.2634018, 103.8220077","Bar, German"
Brotzeit Westgate,3 Gateway Drive#01-04Westgate Singapore (608532),"1.3345013, 103.7426077","Bar, German"
Brunetti,163 Tanglin Road#01-35Tanglin Mall Singapore (247933),"1.3048533, 103.8236186","American, Italian, Seafood, Steakhouse, All-Day Breakfast, Vegetarian Friendly, Cafe"
BTM Mussels & Bar,5 Duxton Hill Singapore (089591),"1.2792538, 103.8429506","Bar, Modern European, French, German"
The Buffet at M Hotel,81 Anson Road M Hotel Singapore (079908),"1.273767, 103.8450399","Buffet, International, Seafood, Vegetarian Friendly, Steamboat"
Buko Nero,126 Tanjong Pagar Road Singapore (088534),"1.2775949, 103.8435176",Italian
Buona Terra,29 Scotts Road Singapore (228224),"1.3106807, 103.8346232",Italian
Burlamacco Cafe & Pizzeria,2 Kung Chong Road#04-01Singapore (159140),"1.28988, 103.812957","Italian, Cafe"
Burlamacco Ristorante (Stanley Street),30 Stanley Street Singapore (068739),"1.280995, 103.848373","Italian, Vegetarian Friendly"
Burlamacco Ristorante @ East Coast,217 East Coast Road#01-01Singapore (428915),"1.3075174, 103.9069751",Italian
Butcher Boy,31 Keong Saik Road Singapore (089138),"1.2800213, 103.8414866","Bar, Steakhouse, Modern Asian"
Butcher's Block (Raffles Hotel),328 North Bridge Road#02-02 to #02-07Raffles Arcade Singapore (188719)(Accessible via North Bridge Road entrance),"1.2955861, 103.8540165",Steakhouse
The Butcher's Wife,19 Yong Siak Street Singapore (168650),"1.2827623, 103.8301826",Modern European
Butter & Spice,451 Joo Chiat Road#01-01Katong Point Singapore (427664),"1.3068949, 103.9043852",Indian
Byblos Grill,14 Bussorah Street Singapore (199435),"1.3011937, 103.8600438","Middle Eastern, Vegetarian Friendly"
béni Singapore,333A Orchard Road#02-37Mandarin Gallery Singapore (238897),"1.3017091, 103.8369254","Japanese, French"
Bōruto,"80 South Bridge Road, #01-01Singapore (058710)","1.2869337, 103.8477798","Japanese, Fusion"
Cafe de Paris,313 Orchard Road#B1-37313@somerset Singapore (238895),"1.300898, 103.838361","Korean, Cafe"
Caffe Fernet,70 Collyer Quay#01-05Customs House Singapore (049323),"1.2824913, 103.8534753","Modern European, Italian"
Caffé B,64 Club Street Singapore (069438),"1.2816083, 103.846037","Bar, Japanese, Italian, Vegetarian Friendly"
Café 2000,81 Anson Road M Hotel Singapore (079908),"1.273767, 103.8450399","Buffet, International, Seafood, Vegetarian Friendly"
Café Iguana,30 Merchant Road#01-03Riverside Point Singapore (058282),"1.289041, 103.8445709","Bar, Vegetarian Friendly, Mexican"
Cafe Mosaic,76 Bras Basah Road Carlton Hotel Singapore (189558),"1.2960301, 103.8527419","International, Vegetarian Friendly, Local"
Cajun on Wheels (Plaza Singapura),68 Orchard Road#03-92Plaza Singapura Singapore (238839),"1.3005317, 103.8452356","American, Cajun, Halal Certified"
"Cali, Ascott Raffles Place","2 Finlayson Green Level 2, Ascott Raffles Place Singapore Singapore (049247)","1.2820375, 103.85158","American, Bar, Modern European, Italian, International, Southeast Asian"
"Cali, Park Avenue Rochester Hotel","31 Rochester Drive#01-01/02Cali, Park Avenue Rochester Hotel Singapore (138637)","1.3049379, 103.7888898","American, Bar, Italian, International, Modern Asian"
Camden Hill Restaurant & Bar,22 Camden Park Hollandse Club Singapore (299814),"1.3298023, 103.8164134","American, Italian, Fusion, British, Vegetarian Friendly, Local, Cafe, Pizza, Burgers"
Camden Hill Restaurant & Bar (Delivery),22 Camden Park Singapore (299814),"1.3300674, 103.8163733",Burgers
Camino House,20 Eastwood Road#01-14B Eastwood Centre Singapore (486442),"1.3216364, 103.9556659",Fusion
Candlenut,Block 17A Dempsey Road Singapore (249676),"1.3059001, 103.8101446","Vegetarian Friendly, Southeast Asian, Peranakan"
Canopy Bishan,1382 Ang Mo Kio Ave 1Bishan Park 2Singapore (569931),"1.3623857, 103.8473062","American, Fusion"
Canopy HortPark,33 Hyderabad Road #01-01Hort Park Singapore (119578),"1.2787362, 103.8018322","Modern European, All-Day Breakfast, Vegetarian Friendly, Cafe, Pizza, Burgers"
Canteen Bistro,80 Stamford Road#B1-61SMU School of Information Systems Singapore (178902),"1.2975488, 103.8494183","Cafe, Burgers"
Capri Trattoria & Pizzeria,3 Binjai Park Singapore (589819),"1.3357096, 103.7865354",Italian
Captain K Seafood Tower,112 Middle Road#01-00Midland House Singapore (188970),"1.2990794, 103.8537523","Fusion, Seafood, Modern Asian"
Carnivore Brazilian Churrascaria (CHIJMES),30 Victoria Street#01-32CHIJMES Singapore (187996),"1.2951699, 103.8521957","Buffet, Steakhouse, South American, BBQ"
Carrotsticks & Cravings (Dempsey),75E Loewen Road Singapore (248845),"1.3020448, 103.8129476","Australian, Vegetarian Friendly, Cafe"
Carrotsticks & Cravings (Robertson Quay),7 Rodyk Street#01-34Singapore (238215),"1.2904731, 103.8382463","Australian, All-Day Breakfast, Cafe"
Caruso Ristorante,"791 Bukit Timah Road #01-01,Singapore (269764)","1.3310862, 103.7960996",Italian
The Carvery,323 Alexandra Road Level 7Park Hotel Alexandra Singapore (159972),"1.2875458, 103.8054094","Buffet, Modern European, Vegetarian Friendly"
Casa Roma Ristorante Italiano,200 Turf Club Road#01-09The Grandstand Singapore (287994),"1.3380084, 103.7934418","Modern European, Italian"
Casa Tartufo,6 Mohamed Sultan Road Singapore (238956),"1.2939978, 103.8418827","Italian, Vegetarian Friendly"
Casa Verde,1 Cluny Road Singapore Botanic Gardens Singapore (259569),"1.3138397, 103.8159136","Italian, Vegetarian Friendly, Pizza"
Casserole,101 Siloso Road Dine On 3 at Level 3Shangri-La's Rasa Sentosa Resort & Spa Singapore (098970),"1.2577323, 103.8097962","Indian, Southeast Asian"
Cassia,"1 The Knolls Capella Hotel, Sentosa Singapore (098297)","1.2497222, 103.8241667",Chinese
Catchfly,12 Ann Siang Road Singapore (069692),"1.2813466, 103.8454791","American, Bar"
Catfish,5 Gemmill Lane#01-01Singapore (069261),"1.2824539, 103.8472139","Bar, Fusion, Seafood"
Cavemen Restaurant & Bar,1 Jalan Dusun#01-10One Dusun Residences Singapore (329363),"1.3270103, 103.8438153","Modern European, French, Steakhouse"
